file,seed,N,wall,var_d
0316,316,34,29,15672
0317,317,22,79,2117
0318,318,34,140,20526
0319,319,40,295,10
0320,320,29,151,764
0321,321,30,25,15058
0322,322,32,33,2288
0323,323,22,74,2666
0324,324,34,67,11531
0325,325,24,6,18224
0326,326,28,132,1750
0327,327,32,239,101
0328,328,30,152,8831
0329,329,37,155,21456
0330,330,20,95,19
0331,331,35,26,14372
0332,332,32,8,26018
0333,333,20,114,63
0334,334,25,40,196
0335,335,38,253,4122
0336,336,28,144,1338
0337,337,29,14,6317
0338,338,37,132,9718
0339,339,29,98,34
0340,340,22,23,3553
0341,341,31,64,9316
0342,342,28,14,5282
0343,343,27,40,1644
0344,344,36,17,11098
0345,345,29,64,10631
0346,346,20,15,15069
0347,347,33,171,5749
0348,348,29,198,7903
0349,349,39,314,21588
0350,350,23,103,23308
0351,351,28,113,28329
0352,352,38,300,16984
0353,353,38,116,1058
0354,354,38,122,6459
0355,355,38,141,11285
0356,356,24,115,3529
0357,357,32,74,277
0358,358,33,230,8261
0359,359,39,16,13866
0360,360,35,65,1324
0361,361,22,82,4000
0362,362,28,109,2574
0363,363,29,153,1809
0364,364,23,51,5271
0365,365,36,76,5295
0366,366,22,58,12011
0367,367,26,22,5320
0368,368,25,32,3173
0369,369,40,85,9761
0370,370,40,73,6480
0371,371,39,197,11275
0372,372,37,162,3730
0373,373,29,41,2721
0374,374,26,111,603
0375,375,24,30,14816
0376,376,40,121,7691
0377,377,39,40,15682
0378,378,34,54,664
0379,379,40,38,2194
0380,380,39,156,13505
0381,381,25,103,1139
0382,382,26,24,2739
0383,383,34,53,5937
0384,384,39,177,11274
0385,385,36,257,44
0386,386,39,180,1638
0387,387,29,29,116
0388,388,20,112,16
0389,389,22,82,2883
0390,390,35,223,4381
0391,391,35,249,1352
0392,392,40,112,4651
0393,393,34,136,11108
0394,394,32,90,11689
0395,395,38,224,10465
0396,396,40,262,11019
0397,397,33,122,13262
0398,398,39,119,104
0399,399,20,55,72
0400,400,33,176,6671
0401,401,40,328,317
0402,402,22,70,769
0403,403,20,16,11290
0404,404,39,136,5752
0405,405,37,322,4297
0406,406,40,40,7018
0407,407,38,235,17677
0408,408,39,181,3021
0409,409,32,16,7415
0410,410,33,209,8562
0411,411,30,18,3921
0412,412,30,54,5211
0413,413,40,225,3487
0414,414,21,3,13701
0415,415,27,61,12899
0416,416,30,166,17554
0417,417,39,141,128
0418,418,26,143,6704
0419,419,29,10,382
0420,420,21,70,12504
0421,421,38,230,7669
0422,422,23,90,12637
0423,423,31,227,18814
0424,424,23,33,59
0425,425,20,49,4563
0426,426,25,105,8660
0427,427,26,133,11695
0428,428,27,156,16048
0429,429,21,86,565
0430,430,38,218,15294
0431,431,22,53,6877
0432,432,28,19,2341
0433,433,26,125,6771
0434,434,34,231,10
0435,435,34,205,6405
0436,436,24,104,15449
0437,437,39,238,3474
0438,438,33,209,22617
0439,439,32,142,8379
0440,440,26,76,1978
0441,441,33,197,484
0442,442,25,34,14
0443,443,36,237,40
0444,444,21,40,5116
0445,445,39,197,5181
0446,446,31,100,5324
0447,447,36,61,15825
0448,448,23,99,16
0449,449,39,307,628
0450,450,21,94,19954
0451,451,27,30,27818
0452,452,40,23,6586
0453,453,23,128,37653
0454,454,33,96,8225
0455,455,29,79,139
0456,456,32,27,6659
0457,457,36,160,5249
0458,458,29,85,1034
0459,459,30,6,2667
0460,460,36,99,7
0461,461,20,20,539
0462,462,27,4,664
0463,463,31,148,5881
0464,464,26,124,9897
0465,465,36,286,2162
0466,466,40,343,3459
0467,467,24,58,31438
0468,468,30,95,9997
0469,469,33,43,9111
0470,470,33,102,7134
0471,471,32,217,5311
0472,472,39,66,16011
0473,473,32,201,5810
0474,474,29,54,8534
0475,475,27,97,5058
0476,476,35,149,1495
0477,477,21,28,467
0478,478,27,26,12333
0479,479,20,22,5930
0480,480,37,51,18
0481,481,34,253,6371
0482,482,24,110,6327
0483,483,26,25,11840
0484,484,38,42,485
0485,485,29,169,128
0486,486,23,85,8820
0487,487,40,71,9366
0488,488,26,76,27626
0489,489,37,54,17648
0490,490,36,50,11466
0491,491,34,97,11135
0492,492,32,95,11275
0493,493,25,134,16
0494,494,38,7,3574
0495,495,21,18,11781
0496,496,28,136,10969
0497,497,23,68,21446
0498,498,35,85,3400
0499,499,36,32,20679
0500,500,35,237,15962
0501,501,26,78,7802
0502,502,25,127,13819
0503,503,25,82,40238
0504,504,32,115,819
0505,505,33,211,10173
0506,506,24,74,6767
0507,507,34,229,1029
0508,508,38,218,10924
0509,509,37,158,7365
0510,510,26,89,73
0511,511,33,103,5744
0512,512,34,9,110
0513,513,40,12,12859
0514,514,40,145,14982
0515,515,39,121,8690
0516,516,20,39,16438
0517,517,21,106,115
0518,518,34,203,7
0519,519,26,17,2285
0520,520,29,87,2959
0521,521,34,205,20725
0522,522,37,145,21928
0523,523,33,119,10393
0524,524,40,56,13380
0525,525,22,48,5407
0526,526,33,150,3621
0527,527,37,276,8479
0528,528,30,172,17788
0529,529,30,180,16280
0530,530,33,72,5335
0531,531,27,41,1773
0532,532,33,195,8844
0533,533,40,110,5934
0534,534,26,143,23
0535,535,20,41,5664
0536,536,33,23,1171
0537,537,29,49,10969
0538,538,32,25,6405
0539,539,26,65,30
0540,540,28,135,1269
0541,541,34,4,5985
0542,542,40,196,15391
0543,543,40,222,5346
0544,544,20,38,7829
0545,545,27,173,12080
0546,546,34,224,23
0547,547,30,118,16608
0548,548,25,62,17381
0549,549,38,216,8411
0550,550,31,30,2736
0551,551,38,264,10850
0552,552,29,143,11412
0553,553,26,37,12397
0554,554,26,84,21742
0555,555,25,87,16163
0556,556,26,171,29109
0557,557,34,256,1000
0558,558,28,144,3398
0559,559,34,101,13317
0560,560,28,86,1912
0561,561,27,45,11054
0562,562,31,135,9177
0563,563,24,66,5309
0564,564,29,155,4029
0565,565,35,250,9126
0566,566,39,288,5197
0567,567,31,83,4379
0568,568,39,144,13883
0569,569,26,141,40
0570,570,34,121,474
0571,571,34,183,11456
0572,572,37,59,1250
0573,573,21,62,2452
0574,574,24,131,7125
0575,575,31,149,1159
0576,576,40,160,6804
0577,577,25,111,15907
0578,578,22,73,7173
0579,579,25,65,14490
0580,580,31,178,8133
0581,581,35,134,5101
0582,582,27,74,2724
0583,583,29,100,7300
0584,584,35,112,687
0585,585,38,228,6187
0586,586,29,64,1168
0587,587,24,26,7190
0588,588,22,25,1542
0589,589,20,45,7251
0590,590,33,60,2589
0591,591,26,35,4581
0592,592,33,88,9962
0593,593,30,110,4925
0594,594,39,185,3094
0595,595,33,106,3801
0596,596,21,62,14110
0597,597,22,26,2506
0598,598,36,18,5362
0599,599,23,56,16879
0600,600,25,9,23937
0601,601,20,75,3021
0602,602,31,227,11319
0603,603,28,83,7919
0604,604,39,321,15661
0605,605,36,255,2850
0606,606,30,37,6553
0607,607,38,106,1938
0608,608,36,246,17879
0609,609,30,160,9276
0610,610,21,96,25079
0611,611,31,95,1016
0612,612,39,22,31
0613,613,30,82,6174
0614,614,22,65,2978
0615,615,40,59,105
0616,616,24,105,916
0617,617,33,92,4822
0618,618,27,93,7431
0619,619,29,90,3721
0620,620,30,188,12939
0621,621,35,212,14270
0622,622,38,214,1755
0623,623,28,97,27624
0624,624,28,23,3609
0625,625,30,6,14636
0626,626,38,231,5514
0627,627,26,142,19259
0628,628,24,102,13371
0629,629,27,120,576
0630,630,29,26,371
0631,631,24,69,11033
0632,632,23,83,28469
0633,633,23,4,1185
0634,634,33,235,14117
0635,635,23,7,1333
0636,636,22,65,2707
0637,637,21,61,8854
0638,638,29,89,3086
0639,639,35,60,5722
0640,640,30,128,7353
0641,641,37,192,13590
0642,642,27,15,23477
0643,643,35,124,1353
0644,644,29,181,7730
0645,645,22,27,2374
0646,646,22,12,11519
0647,647,31,134,7603
0648,648,40,316,35002
0649,649,27,108,715
0650,650,33,31,7793
0651,651,23,84,26502
0652,652,37,115,2841
0653,653,39,6,8983
0654,654,35,192,5150
0655,655,31,95,1329
0656,656,23,90,6724
0657,657,24,97,7290
0658,658,23,65,7523
0659,659,29,26,138
0660,660,31,57,2672
0661,661,39,214,5393
0662,662,29,123,31
0663,663,39,88,12493
0664,664,26,24,14974
0665,665,27,58,564
0666,666,30,5,25183
0667,667,38,350,1733
0668,668,36,217,9544
0669,669,25,117,15015
0670,670,35,229,9055
0671,671,29,132,16968
0672,672,40,359,20349
0673,673,25,82,8252
0674,674,24,134,26887
0675,675,20,64,12795
0676,676,29,156,1202
0677,677,26,132,146
0678,678,23,61,980
0679,679,29,22,2540
0680,680,33,113,12145
0681,681,35,111,8501
0682,682,29,147,761
0683,683,28,168,8015
0684,684,39,45,2585
0685,685,31,93,17543
0686,686,26,103,25726
0687,687,21,42,1026
0688,688,29,110,19335
0689,689,26,85,3381
0690,690,31,95,1431
0691,691,39,283,31175
0692,692,25,125,4154
0693,693,29,57,11972
0694,694,34,77,8739
0695,695,33,240,17457
0696,696,40,292,20267
0697,697,39,301,3252
0698,698,31,22,1030
0699,699,29,67,530
0700,700,40,187,5075
0701,701,38,243,187
0702,702,28,148,2949
0703,703,24,125,13618
0704,704,28,32,2843
0705,705,25,61,15668
0706,706,33,98,13328
0707,707,23,125,23782
0708,708,32,191,6932
0709,709,20,23,12565
0710,710,35,232,1253
0711,711,26,101,18594
0712,712,36,116,8
0713,713,27,63,3402
0714,714,24,12,4540
0715,715,22,116,6028
0716,716,24,95,17819
0717,717,23,71,8975
0718,718,32,117,8712
0719,719,26,12,26902
0720,720,37,279,6017
0721,721,23,125,262
0722,722,35,122,1476
0723,723,29,145,19225
0724,724,31,209,8786
0725,725,29,49,4233
0726,726,35,215,13532
0727,727,29,22,14106
0728,728,32,133,4584
0729,729,25,132,2656
0730,730,25,69,6450
0731,731,27,95,2383
0732,732,24,87,14097
0733,733,23,118,3875
0734,734,40,54,9932
0735,735,34,24,757
0736,736,32,66,2730
0737,737,21,25,18755
0738,738,33,50,476
0739,739,23,62,12844
0740,740,28,35,613
0741,741,36,81,17906
0742,742,21,73,14908
0743,743,21,87,12180
0744,744,32,75,15455
0745,745,32,18,362
0746,746,33,205,21479
0747,747,24,70,28371
0748,748,24,76,7675
0749,749,24,18,4955
0750,750,38,232,11779
0751,751,24,137,5832
0752,752,28,98,1717
0753,753,34,11,8319
0754,754,20,73,5703
0755,755,33,168,7003
0756,756,30,29,9195
0757,757,32,122,13454
0758,758,25,7,4948
0759,759,39,232,17780
0760,760,24,85,7624
0761,761,32,7,8033
0762,762,24,125,1849
0763,763,39,305,12680
0764,764,27,47,7329
0765,765,26,151,4776
0766,766,26,84,13123
0767,767,26,15,8390
0768,768,39,52,5818
0769,769,21,46,8075
0770,770,37,88,12802
0771,771,34,42,24270
0772,772,26,140,6340
0773,773,20,104,6638
0774,774,33,89,15706
0775,775,38,268,8299
0776,776,30,120,5415
0777,777,25,65,3057
0778,778,21,74,18918
0779,779,23,90,1849
0780,780,24,31,1168
0781,781,33,130,2814
0782,782,39,154,6797
0783,783,28,167,5567
0784,784,20,47,102
0785,785,20,7,2550
0786,786,21,42,6149
0787,787,21,14,3208
0788,788,40,265,28
0789,789,27,90,12100
0790,790,21,37,14278
0791,791,31,10,13976
0792,792,30,69,16623
0793,793,23,94,1005
0794,794,24,37,4820
0795,795,29,53,12454
0796,796,20,60,35025
0797,797,26,104,21554
0798,798,27,164,1540
0799,799,39,39,10290
0800,800,32,103,14163
0801,801,30,180,11225
0802,802,22,82,1826
0803,803,24,109,21596
0804,804,31,79,597
0805,805,30,76,2394
0806,806,27,157,5572
0807,807,35,38,52
0808,808,22,70,26129
0809,809,21,77,92
0810,810,23,88,1374
0811,811,26,83,2518
0812,812,38,217,92
0813,813,34,139,7873
0814,814,39,115,10998
0815,815,25,138,2912
0816,816,23,90,6875
0817,817,25,80,3126
0818,818,38,228,5102
0819,819,30,165,8210
0820,820,39,139,6776
0821,821,38,203,9291
0822,822,33,28,7230
0823,823,23,17,2097
0824,824,20,30,304
0825,825,30,139,1346
0826,826,24,100,10887
0827,827,28,134,4785
0828,828,27,20,14253
0829,829,21,19,170
0830,830,29,133,7572
0831,831,35,287,116
0832,832,21,75,8395
0833,833,26,107,891
0834,834,24,86,13709
0835,835,39,132,3869
0836,836,34,86,5894
0837,837,30,109,9245
0838,838,39,3,1792
0839,839,40,277,2794
0840,840,33,186,200
0841,841,35,97,12508
0842,842,30,152,114
0843,843,27,82,20047
0844,844,40,82,8739
0845,845,39,273,2671
0846,846,33,77,19179
0847,847,34,147,8248
0848,848,40,240,1851
0849,849,34,126,50705
0850,850,39,271,1756
0851,851,28,28,12433
0852,852,26,5,16858
0853,853,39,16,2977
0854,854,36,88,6116
0855,855,34,221,1567
0856,856,38,20,90
0857,857,29,61,6729
0858,858,33,114,15744
0859,859,38,267,20518
0860,860,36,119,17215
0861,861,35,127,16220
0862,862,24,80,6950
0863,863,20,62,7834
0864,864,27,70,24417
0865,865,24,139,9845
0866,866,39,254,3176
0867,867,34,260,7865
0868,868,25,115,13955
0869,869,31,66,559
0870,870,23,94,10142
0871,871,22,32,18100
0872,872,30,69,20974
0873,873,33,215,6919
0874,874,33,31,2394
0875,875,24,33,4073
0876,876,34,285,161
0877,877,26,144,6417
0878,878,31,68,20836
0879,879,32,30,2863
0880,880,20,96,6381
0881,881,20,110,1707
0882,882,27,51,9819
0883,883,20,34,10894
0884,884,30,40,8573
0885,885,33,64,8956
0886,886,26,110,6591
0887,887,38,109,15
0888,888,40,109,841
0889,889,23,33,9743
0890,890,38,249,9160
0891,891,25,63,15288
0892,892,34,206,3733
0893,893,30,59,10583
0894,894,28,164,19027
0895,895,40,112,9734
0896,896,21,95,6408
0897,897,33,211,2769
0898,898,40,199,9674
0899,899,38,43,16776
0900,900,33,159,14690
0901,901,31,202,9480
0902,902,23,11,11147
0903,903,29,38,11
0904,904,31,39,21893
0905,905,27,88,28346
0906,906,28,29,2669
0907,907,33,113,267
0908,908,24,16,888
0909,909,24,60,14617
0910,910,40,360,558
0911,911,40,312,1646
0912,912,37,154,7146
0913,913,22,33,22022
0914,914,40,185,18444
0915,915,36,38,7522
0916,916,22,12,63
0917,917,23,104,11772
0918,918,29,129,6085
0919,919,38,136,14206
0920,920,23,55,9521
0921,921,28,142,1721
0922,922,40,176,14456
0923,923,34,160,3893
0924,924,35,34,6095
0925,925,40,288,6648
0926,926,25,68,791
0927,927,25,98,22492
0928,928,28,39,3280
0929,929,21,49,16948
0930,930,26,76,4723
0931,931,38,189,1846
0932,932,25,143,19
0933,933,24,111,12988
0934,934,23,116,10008
0935,935,20,63,2293
0936,936,22,84,5978
0937,937,25,114,16002
0938,938,32,151,17516
0939,939,39,124,4709
0940,940,33,91,2865
0941,941,24,115,6419
0942,942,34,162,16430
0943,943,27,128,7085
0944,944,36,152,6552
0945,945,34,214,9334
0946,946,28,143,463
0947,947,37,74,1832
0948,948,37,231,25
0949,949,25,34,6837
0950,950,36,245,9083
0951,951,35,10,4360
0952,952,31,179,13318
0953,953,21,98,8426
0954,954,28,89,13615
0955,955,30,206,13168
0956,956,35,73,21767
0957,957,38,167,5660
0958,958,27,36,5437
0959,959,28,182,81
0960,960,31,229,12841
0961,961,21,19,1234
0962,962,37,135,12129
0963,963,20,62,3640
0964,964,40,22,7497
0965,965,37,278,13
0966,966,27,9,22477
0967,967,22,123,24178
0968,968,39,115,10153
0969,969,30,13,21943
0970,970,28,116,16386
0971,971,40,333,22029
0972,972,26,67,1848
0973,973,38,79,20611
0974,974,28,5,11284
0975,975,32,12,3187
0976,976,37,315,3165
0977,977,40,36,6427
0978,978,24,18,5084
0979,979,20,92,89
0980,980,25,88,17309
0981,981,34,107,13905
0982,982,33,212,1936
0983,983,38,233,19483
0984,984,33,39,10028
0985,985,39,238,17888
0986,986,28,50,4147
0987,987,26,133,2875
0988,988,23,2,7900
0989,989,39,77,5400
0990,990,36,182,52996
0991,991,32,200,2839
0992,992,37,176,5972
0993,993,30,210,11437
0994,994,32,67,854
0995,995,32,174,18746
0996,996,36,126,43953
0997,997,20,23,19229
0998,998,27,21,5635
0999,999,34,264,1767
1000,1000,40,82,70
1001,1001,27,42,9922
1002,1002,33,227,2356
1003,1003,38,232,11169
1004,1004,29,191,15381
1005,1005,27,38,4511
1006,1006,33,26,6635
1007,1007,20,86,3263
1008,1008,26,64,13339
1009,1009,23,70,13278
1010,1010,31,108,8078
1011,1011,25,74,3994
1012,1012,27,124,23929
1013,1013,23,78,860
1014,1014,32,244,6186
1015,1015,36,100,16145
1016,1016,38,94,260
1017,1017,27,55,10605
1018,1018,24,124,3185
1019,1019,25,33,1610
1020,1020,40,276,7271
1021,1021,21,7,3964
1022,1022,30,8,2888
1023,1023,27,73,7821
1024,1024,22,34,2673
1025,1025,20,74,18542
1026,1026,20,72,7423
1027,1027,35,93,5313
1028,1028,21,12,3808
1029,1029,33,217,1627
1030,1030,27,107,2184
1031,1031,20,78,5858
1032,1032,28,183,301
1033,1033,20,24,6109
1034,1034,25,23,8085
1035,1035,24,37,12645
1036,1036,40,182,4808
1037,1037,33,159,15223
1038,1038,26,164,339
1039,1039,35,164,47
1040,1040,40,218,8499
1041,1041,31,203,2469
1042,1042,38,41,9664
1043,1043,33,42,24390
1044,1044,22,81,1222
1045,1045,21,40,541
1046,1046,34,101,2702
1047,1047,33,130,1023
1048,1048,34,109,7139
1049,1049,38,299,24231
1050,1050,39,170,2034
1051,1051,24,27,24081
1052,1052,26,40,229
1053,1053,30,83,4532
1054,1054,33,84,449
1055,1055,25,76,60
1056,1056,30,169,1744
1057,1057,33,50,24759
1058,1058,20,35,905
1059,1059,30,107,7344
1060,1060,26,123,4289
1061,1061,32,150,6502
1062,1062,21,109,19882
1063,1063,39,139,997
1064,1064,35,111,6431
1065,1065,21,73,17061
1066,1066,30,190,486
1067,1067,38,190,9839
1068,1068,22,10,780
1069,1069,30,73,16595
1070,1070,21,24,8083
1071,1071,34,252,7841
1072,1072,28,75,2467
1073,1073,20,80,7496
1074,1074,31,168,20027
1075,1075,34,95,1312
1076,1076,30,121,4919
1077,1077,24,43,21485
1078,1078,25,129,18446
1079,1079,25,3,322
1080,1080,27,42,10
1081,1081,35,51,374
1082,1082,35,240,11752
1083,1083,23,119,36987
1084,1084,24,39,7589
1085,1085,34,47,32313
1086,1086,23,55,1127
1087,1087,22,75,3061
1088,1088,28,150,18273
1089,1089,25,111,7088
1090,1090,23,108,1304
1091,1091,34,178,423
1092,1092,34,4,11
1093,1093,20,69,2923
1094,1094,35,102,2160
1095,1095,33,185,5453
1096,1096,40,35,10021
1097,1097,28,179,28688
1098,1098,24,92,104
1099,1099,32,192,22227
1100,1100,28,176,6094
1101,1101,34,192,23010
1102,1102,34,148,11053
1103,1103,28,109,14534
1104,1104,32,153,1412
1105,1105,36,45,28367
1106,1106,22,112,3930
1107,1107,30,163,5867
1108,1108,35,161,5753
1109,1109,35,97,547
1110,1110,33,192,798
1111,1111,22,69,74
1112,1112,35,71,1515
1113,1113,26,86,11354
1114,1114,21,100,7838
1115,1115,36,198,18937
1116,1116,23,73,3580
1117,1117,31,8,15560
1118,1118,30,98,9621
1119,1119,21,3,15034
1120,1120,23,94,18791
1121,1121,31,29,11250
1122,1122,23,77,17222
1123,1123,26,69,3647
1124,1124,26,27,14401
1125,1125,39,238,16935
1126,1126,39,69,8478
1127,1127,35,172,5380
1128,1128,32,43,7022
1129,1129,26,113,2292
1130,1130,28,20,21758
1131,1131,20,4,6824
1132,1132,40,106,757
1133,1133,29,58,12637
1134,1134,29,74,13437
1135,1135,24,75,19235
1136,1136,39,248,501
1137,1137,29,49,63
1138,1138,28,16,5965
1139,1139,27,88,5559
1140,1140,25,53,2155
1141,1141,38,117,455
1142,1142,34,71,21469
1143,1143,40,189,8760
1144,1144,20,37,2005
1145,1145,32,201,8545
1146,1146,37,337,446
1147,1147,25,150,15029
1148,1148,35,157,14213
1149,1149,24,18,790
1150,1150,39,97,1913
1151,1151,27,3,1480
1152,1152,39,331,4474
1153,1153,30,37,10553
1154,1154,27,116,119
1155,1155,20,16,30599
1156,1156,40,50,6383
1157,1157,32,118,5075
1158,1158,23,96,4778
1159,1159,31,140,5219
1160,1160,22,79,3378
1161,1161,38,234,3480
1162,1162,31,115,13381
1163,1163,33,126,19822
